,,,Number of deaths,Number of deaths,Number of deaths
,,,Diarrhoeal diseases,Diarrhoeal diseases,Diarrhoeal diseases
,Region,Year,0-27 days,1-59 months,0-4 years
Acute lower respiratory infections,Africa Region,2016,71484,388915,460399
Acute lower respiratory infections,Africa Region,2015,72234,395023,467258
Acute lower respiratory infections,Africa Region,2014,73242,405033,478275
Acute lower respiratory infections,Africa Region,2013,74346,423656,498002
Acute lower respiratory infections,Africa Region,2012,75417,441591,517008
Acute lower respiratory infections,Africa Region,2011,76560,460417,536977
Acute lower respiratory infections,Africa Region,2010,77757,472670,550427
Acute lower respiratory infections,Africa Region,2009,78642,478072,556714
Acute lower respiratory infections,Africa Region,2008,79842,486496,566339
Acute lower respiratory infections,Africa Region,2007,81074,502493,583567
Acute lower respiratory infections,Africa Region,2006,82026,516855,598882
Acute lower respiratory infections,Africa Region,2005,83077,521937,605014
Acute lower respiratory infections,Africa Region,2004,83982,535095,619077
Acute lower respiratory infections,Africa Region,2003,84662,548343,633005
Acute lower respiratory infections,Africa Region,2002,85021,565644,650665
Acute lower respiratory infections,Africa Region,2001,85053,577438,662492
Acute lower respiratory infections,Africa Region,2000,84733,588828,673562
Birth asphyxia and birth trauma,Africa Region,2016,293344,29503,322846
Birth asphyxia and birth trauma,Africa Region,2015,296103,29719,325822
Birth asphyxia and birth trauma,Africa Region,2014,299848,30050,329897
Birth asphyxia and birth trauma,Africa Region,2013,304025,29450,333474
Birth asphyxia and birth trauma,Africa Region,2012,308013,29007,337019
Birth asphyxia and birth trauma,Africa Region,2011,312782,28743,341525
Birth asphyxia and birth trauma,Africa Region,2010,317238,28245,345483
Birth asphyxia and birth trauma,Africa Region,2009,321698,27711,349410
Birth asphyxia and birth trauma,Africa Region,2008,325846,27206,353053
Birth asphyxia and birth trauma,Africa Region,2007,329716,27154,356871
Birth asphyxia and birth trauma,Africa Region,2006,333593,27125,360718
Birth asphyxia and birth trauma,Africa Region,2005,336860,26883,363742
Birth asphyxia and birth trauma,Africa Region,2004,339860,27088,366948
Birth asphyxia and birth trauma,Africa Region,2003,342135,27266,369400
Birth asphyxia and birth trauma,Africa Region,2002,343361,27668,371029
Birth asphyxia and birth trauma,Africa Region,2001,343418,27820,371238
Birth asphyxia and birth trauma,Africa Region,2000,342128,28008,370136
Congenital anomalies,Africa Region,2016,84994,80077,165071
Congenital anomalies,Africa Region,2015,83080,79988,163068
Congenital anomalies,Africa Region,2014,81164,80110,161274
Congenital anomalies,Africa Region,2013,79169,77887,157056
Congenital anomalies,Africa Region,2012,77161,76104,153265
Congenital anomalies,Africa Region,2011,75149,74750,149899
Congenital anomalies,Africa Region,2010,73000,72889,145889
Congenital anomalies,Africa Region,2009,71235,71014,142249
Congenital anomalies,Africa Region,2008,69604,69142,138746
Congenital anomalies,Africa Region,2007,68071,68305,136376
Congenital anomalies,Africa Region,2006,66736,67583,134319
Congenital anomalies,Africa Region,2005,65850,66285,132135
Congenital anomalies,Africa Region,2004,65218,66172,131390
Congenital anomalies,Africa Region,2003,64987,66102,131089
Congenital anomalies,Africa Region,2002,65116,66572,131688
Congenital anomalies,Africa Region,2001,65554,66515,132069
Congenital anomalies,Africa Region,2000,66205,66677,132882
Diarrhoeal diseases,Africa Region,2016,5691,249332,255023
Diarrhoeal diseases,Africa Region,2015,5873,260765,266638
Diarrhoeal diseases,Africa Region,2014,6082,279131,285214
Diarrhoeal diseases,Africa Region,2013,6288,292584,298872
Diarrhoeal diseases,Africa Region,2012,6428,304903,311331
Diarrhoeal diseases,Africa Region,2011,6532,318144,324676
Diarrhoeal diseases,Africa Region,2010,6640,328857,335497
Diarrhoeal diseases,Africa Region,2009,6800,340191,346992
Diarrhoeal diseases,Africa Region,2008,7094,352150,359244
Diarrhoeal diseases,Africa Region,2007,7471,370890,378361
Diarrhoeal diseases,Africa Region,2006,7912,390468,398381
Diarrhoeal diseases,Africa Region,2005,8385,407385,415771
Diarrhoeal diseases,Africa Region,2004,8860,433607,442467
Diarrhoeal diseases,Africa Region,2003,9307,461634,470941
Diarrhoeal diseases,Africa Region,2002,9690,494914,504604
Diarrhoeal diseases,Africa Region,2001,10020,523763,533783
Diarrhoeal diseases,Africa Region,2000,10299,554637,564936
HIV/AIDS,Africa Region,2016,588,57096,57684
HIV/AIDS,Africa Region,2015,610,63022,63631
HIV/AIDS,Africa Region,2014,720,72753,73472
HIV/AIDS,Africa Region,2013,893,84894,85786
HIV/AIDS,Africa Region,2012,1042,97840,98882
HIV/AIDS,Africa Region,2011,1119,111831,112950
HIV/AIDS,Africa Region,2010,1148,126252,127399
HIV/AIDS,Africa Region,2009,1233,144094,145326
HIV/AIDS,Africa Region,2008,1330,158977,160307
HIV/AIDS,Africa Region,2007,1455,174975,176430
HIV/AIDS,Africa Region,2006,1578,188504,190082
HIV/AIDS,Africa Region,2005,1651,198389,200040
HIV/AIDS,Africa Region,2004,1715,205144,206859
HIV/AIDS,Africa Region,2003,1756,208622,210378
HIV/AIDS,Africa Region,2002,1772,208492,210264
HIV/AIDS,Africa Region,2001,1775,205981,207756
HIV/AIDS,Africa Region,2000,1761,201504,203265
Malaria,Africa Region,2016,0,277743,277743
Malaria,Africa Region,2015,0,287334,287334
Malaria,Africa Region,2014,0,301312,301312
Malaria,Africa Region,2013,0,312740,312740
Malaria,Africa Region,2012,0,336234,336234
Malaria,Africa Region,2011,0,372288,372288
Malaria,Africa Region,2010,0,415588,415588
Malaria,Africa Region,2009,0,454907,454907
Malaria,Africa Region,2008,0,488605,488605
Malaria,Africa Region,2007,0,530249,530249
Malaria,Africa Region,2006,0,561318,561318
Malaria,Africa Region,2005,0,583411,583411
Malaria,Africa Region,2004,0,610012,610012
Malaria,Africa Region,2003,0,615694,615694
Malaria,Africa Region,2002,0,623649,623649
Malaria,Africa Region,2001,0,623867,623867
Malaria,Africa Region,2000,0,619898,619898
Measles,Africa Region,2016,0,33930,33930
Measles,Africa Region,2015,0,48380,48380
Measles,Africa Region,2014,0,41859,41859
Measles,Africa Region,2013,0,67044,67044
Measles,Africa Region,2012,0,39004,39004
Measles,Africa Region,2011,0,50277,50277
Measles,Africa Region,2010,0,47878,47878
Measles,Africa Region,2009,0,59400,59400
Measles,Africa Region,2008,0,40250,40250
Measles,Africa Region,2007,0,23235,23235
Measles,Africa Region,2006,0,44454,44454
Measles,Africa Region,2005,0,155902,155902
Measles,Africa Region,2004,0,129424,129424
Measles,Africa Region,2003,0,261444,261444
Measles,Africa Region,2002,0,202245,202245
Measles,Africa Region,2001,0,283432,283432
Measles,Africa Region,2000,0,313282,313282
Meningitis/encephalitis,Africa Region,2016,15,54965,54980
Meningitis/encephalitis,Africa Region,2015,28,65739,65767
Meningitis/encephalitis,Africa Region,2014,12,57806,57819
Meningitis/encephalitis,Africa Region,2013,5,74666,74671
Meningitis/encephalitis,Africa Region,2012,1,83890,83892
Meningitis/encephalitis,Africa Region,2011,44,75531,75575
Meningitis/encephalitis,Africa Region,2010,34,79701,79735
Meningitis/encephalitis,Africa Region,2009,44,95368,95412
Meningitis/encephalitis,Africa Region,2008,61,113627,113688
Meningitis/encephalitis,Africa Region,2007,79,102282,102361
Meningitis/encephalitis,Africa Region,2006,40,105803,105843
Meningitis/encephalitis,Africa Region,2005,61,134024,134085
Meningitis/encephalitis,Africa Region,2004,62,131795,131856
Meningitis/encephalitis,Africa Region,2003,62,144723,144785
Meningitis/encephalitis,Africa Region,2002,64,137948,138012
Meningitis/encephalitis,Africa Region,2001,66,143932,143998
Meningitis/encephalitis,Africa Region,2000,66,141446,141512
"Other communicable, perinatal and nutritional conditions",Africa Region,2016,46408,256940,303347
"Other communicable, perinatal and nutritional conditions",Africa Region,2015,46469,260075,306544
"Other communicable, perinatal and nutritional conditions",Africa Region,2014,46407,264050,310457
"Other communicable, perinatal and nutritional conditions",Africa Region,2013,46351,259405,305756
"Other communicable, perinatal and nutritional conditions",Africa Region,2012,46678,255545,302222
"Other communicable, perinatal and nutritional conditions",Africa Region,2011,47207,253300,300507
"Other communicable, perinatal and nutritional conditions",Africa Region,2010,48125,249909,298034
"Other communicable, perinatal and nutritional conditions",Africa Region,2009,49281,246212,295493
"Other communicable, perinatal and nutritional conditions",Africa Region,2008,49351,241706,291057
"Other communicable, perinatal and nutritional conditions",Africa Region,2007,49303,241209,290512
"Other communicable, perinatal and nutritional conditions",Africa Region,2006,49908,241425,291333
"Other communicable, perinatal and nutritional conditions",Africa Region,2005,49987,239216,289203
"Other communicable, perinatal and nutritional conditions",Africa Region,2004,49948,242175,292122
"Other communicable, perinatal and nutritional conditions",Africa Region,2003,49684,244706,294390
"Other communicable, perinatal and nutritional conditions",Africa Region,2002,49206,249197,298402
"Other communicable, perinatal and nutritional conditions",Africa Region,2001,48526,251483,300010
"Other communicable, perinatal and nutritional conditions",Africa Region,2000,47757,255042,302800
Prematurity,Africa Region,2016,291994,51709,343703
Prematurity,Africa Region,2015,296113,52135,348248
Prematurity,Africa Region,2014,300417,52764,353181
Prematurity,Africa Region,2013,304551,51791,356342
Prematurity,Africa Region,2012,305488,51114,356602
Prematurity,Africa Region,2011,305180,50744,355924
Prematurity,Africa Region,2010,303965,49989,353954
Prematurity,Africa Region,2009,303111,49271,352382
Prematurity,Africa Region,2008,304844,48525,353369
Prematurity,Africa Region,2007,307723,48567,356290
Prematurity,Africa Region,2006,310511,48603,359115
Prematurity,Africa Region,2005,313238,48151,361389
Prematurity,Africa Region,2004,316451,48679,365130
Prematurity,Africa Region,2003,319999,49284,369282
Prematurity,Africa Region,2002,323613,50235,373848
Prematurity,Africa Region,2001,327802,50662,378463
Prematurity,Africa Region,2000,331092,51233,382325
Sepsis and other infectious conditions of the newborn,Africa Region,2016,172790,0,172790
Sepsis and other infectious conditions of the newborn,Africa Region,2015,172965,0,172965
Sepsis and other infectious conditions of the newborn,Africa Region,2014,173907,0,173907
Sepsis and other infectious conditions of the newborn,Africa Region,2013,174673,0,174673
Sepsis and other infectious conditions of the newborn,Africa Region,2012,177569,0,177569
Sepsis and other infectious conditions of the newborn,Africa Region,2011,182605,0,182605
Sepsis and other infectious conditions of the newborn,Africa Region,2010,188318,0,188318
Sepsis and other infectious conditions of the newborn,Africa Region,2009,191366,0,191366
Sepsis and other infectious conditions of the newborn,Africa Region,2008,190909,0,190909
Sepsis and other infectious conditions of the newborn,Africa Region,2007,188065,0,188065
Sepsis and other infectious conditions of the newborn,Africa Region,2006,183978,0,183978
Sepsis and other infectious conditions of the newborn,Africa Region,2005,180481,0,180481
Sepsis and other infectious conditions of the newborn,Africa Region,2004,176176,0,176176
Sepsis and other infectious conditions of the newborn,Africa Region,2003,171274,0,171274
Sepsis and other infectious conditions of the newborn,Africa Region,2002,166693,0,166693
Sepsis and other infectious conditions of the newborn,Africa Region,2001,162359,0,162359
Sepsis and other infectious conditions of the newborn,Africa Region,2000,158429,0,158429
Tetanus,Africa Region,2016,14372,212,14584
Tetanus,Africa Region,2015,15401,218,15619
Tetanus,Africa Region,2014,16678,225,16903
Tetanus,Africa Region,2013,17989,232,18221
Tetanus,Africa Region,2012,18865,240,19105
Tetanus,Africa Region,2011,19371,249,19619
Tetanus,Africa Region,2010,19842,264,20106
Tetanus,Africa Region,2009,20858,281,21139
Tetanus,Africa Region,2008,22950,300,23250
Tetanus,Africa Region,2007,25640,319,25959
Tetanus,Africa Region,2006,28688,340,29029
Tetanus,Africa Region,2005,32068,361,32429
Tetanus,Africa Region,2004,36061,380,36442
Tetanus,Africa Region,2003,40890,402,41292
Tetanus,Africa Region,2002,45992,425,46417
Tetanus,Africa Region,2001,51274,448,51723
Tetanus,Africa Region,2000,56139,476,56615
Injuries,Africa Region,2016,10291,154805,165097
Injuries,Africa Region,2015,10263,157064,167327
Injuries,Africa Region,2014,10281,157695,167976
Injuries,Africa Region,2013,10309,153198,163507
Injuries,Africa Region,2012,10435,149234,159669
Injuries,Africa Region,2011,10468,146121,156589
Injuries,Africa Region,2010,10407,141789,152196
Injuries,Africa Region,2009,10359,137508,147867
Injuries,Africa Region,2008,10304,133197,143502
Injuries,Africa Region,2007,10245,131183,141427
Injuries,Africa Region,2006,10169,129037,139205
Injuries,Africa Region,2005,10110,125697,135807
Injuries,Africa Region,2004,10219,124752,134971
Injuries,Africa Region,2003,10271,123936,134207
Injuries,Africa Region,2002,10277,123927,134203
Injuries,Africa Region,2001,10232,122775,133007
Injuries,Africa Region,2000,10149,122117,132266
Other noncommunicable diseases,Africa Region,2016,911,104150,105062
Other noncommunicable diseases,Africa Region,2015,906,105340,106246
Other noncommunicable diseases,Africa Region,2014,922,106708,107630
Other noncommunicable diseases,Africa Region,2013,917,104843,105760
Other noncommunicable diseases,Africa Region,2012,952,103528,104480
Other noncommunicable diseases,Africa Region,2011,979,101931,102910
Other noncommunicable diseases,Africa Region,2010,898,98469,99367
Other noncommunicable diseases,Africa Region,2009,881,95224,96105
Other noncommunicable diseases,Africa Region,2008,847,92960,93808
Other noncommunicable diseases,Africa Region,2007,811,92355,93166
Other noncommunicable diseases,Africa Region,2006,807,91326,92133
Other noncommunicable diseases,Africa Region,2005,773,89985,90758
Other noncommunicable diseases,Africa Region,2004,761,90035,90796
Other noncommunicable diseases,Africa Region,2003,749,90672,91421
Other noncommunicable diseases,Africa Region,2002,732,92153,92885
Other noncommunicable diseases,Africa Region,2001,713,92719,93432
Other noncommunicable diseases,Africa Region,2000,692,93068,93760
